date,iexId,isEnabled,name,symbol,type
2019-04-02,2,True,Agilent Technologies Inc.,A,cs
2019-04-02,12042,True,Alcoa Corporation,AA,cs
2019-04-02,14924,True,Perth Mint Physical Gold,AAAU,N/A
2019-04-02,7653,True,Altaba Inc.,AABA,cs
2019-04-02,9169,True,AAC Holdings Inc.,AAC,cs
2019-04-02,5,True,AdvisorShares Dorsey Wright ADR,AADR,et
2019-04-02,8148,True,American Airlines Group Inc.,AAL,cs
2019-04-02,7760,True,Altisource Asset Management Corp Com,AAMC,cs
2019-04-02,7,True,Atlantic American Corporation,AAME,cs
2019-04-02,8,True,Aaron's Inc.,AAN,cs
2019-04-02,7790,True,Applied Optoelectronics Inc.,AAOI,cs
2019-04-02,9,True,AAON Inc.,AAON,cs
2019-04-02,10,True,Advance Auto Parts Inc W/I,AAP,cs
2019-04-02,11,True,Apple Inc.,AAPL,cs
2019-04-02,12,True,American Assets Trust Inc.,AAT,cs
2019-04-02,13,True,Almaden Minerals Ltd.,AAU,cs
2019-04-02,15,True,Atlas Air Worldwide Holdings,AAWW,cs
2019-04-02,16,True,iShares MSCI All Country Asia ex Japan Index Fund,AAXJ,et
2019-04-02,6667,True,Axon Enterprise Inc.,AAXN,cs
2019-04-02,17,True,AllianceBernstein Holding L.P. Units,AB,cs
2019-04-02,19,True,ABB Ltd,ABB,cs
2019-04-02,20,True,AbbVie Inc.,ABBV,cs
2019-04-02,21,True,AmerisourceBergen Corporation,ABC,cs
2019-04-02,22,True,Ameris Bancorp,ABCB,cs
2019-04-02,8607,True,Alcentra Capital Corp.,ABDC,cs
2019-04-02,9600,True,Abeona Therapeutics Inc.,ABEO,cs
2019-04-02,9607,True,,ABEOW,N/A
2019-04-02,36,True,Ambev S.A. American Depositary Shares (Each representing 1),ABEV,cs
2019-04-02,26,True,Asbury Automotive Group Inc,ABG,cs
2019-04-02,10960,True,Ability Inc.,ABIL,cs
2019-04-02,28,True,ARCA biopharma Inc.,ABIO,cs
2019-04-02,29,True,ABM Industries Incorporated,ABM,cs
2019-04-02,30,True,ABIOMED Inc.,ABMD,cs
2019-04-02,31,True,Arbor Realty Trust,ABR,cs
2019-04-02,32,True,Arbor Realty Trust Preferred Series A,ABR-A,ps
2019-04-02,33,True,Arbor Realty Trust Cumulative Redeemable Preferred Series B,ABR-B,ps
2019-04-02,8310,True,Arbor Realty Trust Cumulative Redeemable Preferred Series C,ABR-C,ps
2019-04-02,34,True,Abbott Laboratories,ABT,cs
2019-04-02,10446,True,Allegiance Bancshares Inc.,ABTX,cs
2019-04-02,6816,True,Arbutus Biopharma Corporation,ABUS,cs
2019-04-02,10827,True,Associated Capital Group Inc.,AC,cs
2019-04-02,15144,True,Arcosa Inc.,ACA,cs
2019-04-02,41,True,ACADIA Pharmaceuticals Inc.,ACAD,cs
2019-04-02,15369,True,Acamar Partners Acquisition Corp. Units,ACAMU,su
2019-04-02,15169,True,Aurora Cannabis Inc.,ACB,cs
2019-04-02,10459,True,Atlantic Capital Bancshares Inc.,ACBI,cs
2019-04-02,44,True,American Campus Communities Inc,ACC,cs
2019-04-02,46,True,Acco Brands Corporation,ACCO,cs
2019-04-02,5176,True,Acer Therapeutics Inc.,ACER,cs
2019-04-02,14783,True,ALPS Clean Energy,ACES,N/A
2019-04-02,49,True,Aceto Corporation,ACET,cs
2019-04-02,53,True,Arch Capital Group Ltd.,ACGL,cs
2019-04-02,14574,True,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F,ACGLO,ps
2019-04-02,14575,True,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,ACGLP,ps
2019-04-02,54,True,Aluminum Corporation of China Limited American Depositary Shares,ACH,cs
2019-04-02,55,True,Acadia Healthcare Company Inc.,ACHC,cs
2019-04-02,56,True,Achillion Pharmaceuticals Inc.,ACHN,cs
2019-04-02,5116,True,Achieve Life Sciences Inc.,ACHV,cs
2019-04-02,10954,True,Acacia Communications Inc.,ACIA,cs
2019-04-02,58,True,SPDR MSCI ACWI IMI,ACIM,et
